policy,grid_i,grid_j,stage_k,fraction_estimated_contrast_positive,median_estimated_contrast,fraction_discrepancy_nonnegative,median_global_contrast,median_discrepancy
epsilon_greedy,2,11,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,11,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,2,12,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,12,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,2,13,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,13,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,14,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,14,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,15,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,15,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,16,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,16,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,17,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,17,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,18,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,18,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,19,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,19,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,20,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,20,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,2,21,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,21,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,2,22,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,22,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,23,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,23,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,24,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,24,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,25,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,25,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,26,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,26,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,27,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,27,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,28,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,28,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,29,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,29,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,30,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,30,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,31,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,31,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,32,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,32,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,33,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,33,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,34,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,34,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,35,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,35,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,36,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,36,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,37,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,37,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
